,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
0,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
1,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
2,Insta360,"51,999","₹34,979",Action CameraAction Camera,72,No,32,4.4
3,GoPro,"54,500","₹22,987",,23,No,57,4.2
4,Canon,"35,995","₹30,990",DSLR Camera,18,Yes,13,4.4
5,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
6,SONY,"1,24,990","₹64,990",Mirrorless Camera,24,Yes,48,4.6
7,FUJIFILM,"8,499","₹6,499",,,No,23,4.4
8,GoPro,"45,000","₹29,989",,27,No,33,4.3
9,Canon,"47,995","₹39,999",DSLR Camera,24,Yes,16,4.5
10,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
11,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
12,dji,"54,990","₹34,990",,12,No,36,4.6
13,NIKON,"1,02,995","₹85,990",Mirrorless Camera,20,Yes,16,4.5
14,FUJIFILM,"7,999","₹5,995",,,No,25,4.2
15,SONY,"1,60,990","₹94,990",Mirrorless Camera,24,Yes,40,4.6
16,dji,"54,990","₹15,990",,12,No,70,4.2
17,Canon,"68,995","₹56,990",DSLR Camera,24,Yes,17,4.5
18,NIKON,"94,950","₹75,999",DSLR Camera,20,Yes,19,4.5
19,SJCAM,"7,800","₹3,998",Action Camera,16,Yes,48,3.7
20,SJCAM,"9,800","₹4,889",,12,No,50,3.9
21,Insta360,"59,990","₹48,490",,72,No,19,4.5
22,FUJIFILM,"7,999","₹5,995",,,No,25,4.2
23,dji,"44,990","₹26,990",,12,No,40,4.4
24,SONY,"69,990","₹61,490",Mirrorless Camera,24,Yes,12,4.5
25,FUJIFILM,"8,499","₹6,499",,,No,23,4.4
26,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
27,Canon,"64,995","₹41,999",Mirrorless Camera,24,Yes,35,4.4
28,Canon,"1,42,995","₹99,999",Mirrorless Camera,24,Yes,30,4.3
29,FUJIFILM,"10,999","₹6,999",,,No,36,4.2
30,Canon,"92,995","₹73,990",Mirrorless Camera,24,Yes,20,4.7
31,Canon,"97,995","₹78,990",Mirrorless Camera,24,No,19,4.6
32,FUJIFILM,"8,499","₹6,498",,,No,23,4.4
33,SONY,"90,990","₹73,998",Mirrorless Camera,24,Yes,18,4.6
34,Canon,"75,995","₹61,990",Mirrorless Camera,24,No,18,4.6
35,SONY,"89,990","₹73,924",Mirrorless Camera,24,Yes,17,4.6
36,Canon,"94,995","₹58,990",Mirrorless Camera,26,Yes,37,4.4
37,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
38,Insta360,"49,990","₹34,979",,48,No,30,4.4
39,FUJIFILM,"5,53","₹5,299",,,No,04,4.3
40,MUGO,"16,999","₹2,449",,,No,85,3.2
41,SONY,"50,690","₹38,487",Vlog Camera,20,No,24,4
42,dji,"34,990","₹24,990",,64,No,28,4.3
43,FUJIFILM,"10,999","₹6,999",,,No,36,4.2
44,FUJIFILM,"11,499","₹7,499",,,No,34,4.4
45,NIKON,"82,995","₹71,999",Mirrorless Camera,20,Yes,13,4.5
46,Canon,"2,43,995","₹1,69,990",Mirrorless Camera,24,Yes,30,4.5
47,GoPro,"51,500","₹33,490",,23,No,34,4.3
48,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
49,Zilla,"19,999","₹2,199",,,No,89,3.1
50,Canon,"1,19,995","₹91,990",Mirrorless Camera,24,Yes,23,4.7
